name,country,logo_url,categories,statuses,is_global,partner_url
SambaPOS,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698cb1aaa385bd5afcfdd9_sambapos_logo.webp,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
Sapaad,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698b128d994c80152c80d7_Sapaad-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Sapaad,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698b128d994c80152c80d7_Sapaad-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Semnox,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/666443a0c2505f0bbc487c41_Semnox%20Logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Sequential Soft/HIO POS,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698597f24ca81fd0c32217_Hiopos_logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Sero,United States,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672c05f13d07207b264c6da_logo.webp,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
Sero,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672c05f13d07207b264c6da_logo.webp,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
Shadowfax,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658e860c72506b342e1612_Shadowfax-logo%20(1).webp,Fulfilment,Live,False,https://www.urbanpiper.com/integrations
Sigmoss,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f8ada22f1701e0443e6_sigmoss-logo-6569797ee8617.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
SimpleTouch,Egypt,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6878f92852d112697531d391_Simple%20Touch%20POS%20-%20UP.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Skip the Dishes,Canada,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66fb85030b4912068155864e_Skip%20logo.webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Slerp,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6662b561bcbf2c6b1da1f9fd_slerp.webp,Online Ordering,Live,False,https://www.urbanpiper.com/integrations
Smart POS,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698af28a65a2c6c4ff3bd2_Smart%20pos-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
SmartQ,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697c87a8418071be5a3974_smartq-logo-6569797f8c11d.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
