name,country,logo_url,categories,statuses,is_global,partner_url
Lightspeed,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656989cd865499ea12227f5f_Lightspeed_logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Lightspeed,United States,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656989cd865499ea12227f5f_Lightspeed_logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
LingaPOS,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698853c89b69f8cf6cbc35_Linga_Logo.webp,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
Loyverse,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656988316e8be82630c8d2c9_Loyverse_logo_logo.webp,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
Lucid,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a3d243432e229d11f1d_lucid-logo-6569797800b45.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Lucid,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a3d243432e229d11f1d_lucid-logo-6569797800b45.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Masalabox,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65644b8fb0669b030c71d7e8_Masala%20Box-logo%20(1).webp,Online Ordering,Live,False,https://www.urbanpiper.com/integrations
Menew,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979d0f24ca81fd0bb2ad5_menew-logo-656979787bfdd.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Micros Oracle Symphony Gen 1,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698884e1f72fe446699406_OracleMicros.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Micros Oracle Symphony Gen 2,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656829963887a9d47c192c45_OracleMicros-100.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Micros Oracle Symphony RES 3700,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698884e1f72fe446699406_OracleMicros.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Mr Mandoob,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690d9b76a8d771d4ba0c1172_Integration%20page%20icons%20(11).webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Mrsool,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66c46f336f9796a8b95d1fdb_Screenshot%202024-08-20%20155429.webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
MyGenie,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68ac17f14c72f4d70458f154_Integration%20page%20icons%20(7).png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
MyOrderBox,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672bf1e1bfe20ba128ef0b7_MOB-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Mymenu,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697e29cfa1d94906ba23f3_mymenu-logo-656979792a081.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
NCR BSL,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a67cc959bff733a97159c6_NCR-Voyix-Fintech-Finance-News.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
NCR BSL,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a67cc959bff733a97159c6_NCR-Voyix-Fintech-Finance-News.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
NOQ,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698822866875695e098ff3_NOQ-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Nash,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a67ae8ad1c0c20ddb2dc6b_usenash_logo.webp,Fulfilment,Live,False,https://www.urbanpiper.com/integrations
Nash,United States,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a67ae8ad1c0c20ddb2dc6b_usenash_logo.webp,Fulfilment,Live,False,https://www.urbanpiper.com/integrations
Ninja,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1b654a4132e6c45ccb31_Ninja%20logo.webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Ninjacart,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66643831bfd0614f0010c461_cropped-Group-207-1.webp,Delivery platforms,Upcoming,False,https://www.urbanpiper.com/integrations
Noonfood,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658a2e0dc3cffa145e34ec_Noon%20foods%20Logo%20(2).webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Noonfood,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658a2e0dc3cffa145e34ec_Noon%20foods%20Logo%20(2).webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Noonfood,Kuwait,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658a2e0dc3cffa145e34ec_Noon%20foods%20Logo%20(2).webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Nuba Soft,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656983c0aaa385bd5af6cba4_NUBA%20Logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
OMAK POS,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68ec8ad23a1c1bb431507534_OMAK%20POS.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
OMAK POS,Qatar,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68ec8ad23a1c1bb431507534_OMAK%20POS.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
OMEGA POS Technology,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698b57d6018f8bee07a86a_Omega-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
OMEGA POS Technology,Kuwait,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698b57d6018f8bee07a86a_Omega-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Ocim,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656985728a65a2c6c4fb4a63_OCIM%20LOGO.webp,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
