name,slug,url,logo_url,countries,categories,tags,description
DotPe,dotpe,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65644b1416d0ec6bd3fc7374_Dotpe_Logo%20(1).webp,India,Delivery platforms,,
Dunzo,dunzo,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ea1eccdfd30681082bd_Dunzo%20logo%20(1).webp,India,Fulfilment,,
E-retail,e-retail,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f51dfd51ffa36079e31_e-retail-logo-65697975b26e6.webp,India,POS Systems,,
EatStreet,eatstreet,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/69a165be72ab9bc140979b79_5ca25ca64e2ad.webp,United States,Delivery platforms,,
El Dahan Restaurants,el-dahan-restaurants,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aee14ca8cf24dae25127f_Untitled%20design%20(53).png,Bahrain; Egypt; Jordan; Kuwait; Oman; Qatar; Saudi Arabia; United Arab Emirates,POS Systems,,
Enqueue,enqueue,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1ceea38c912c6746c7b0_Enqueue%20logo.webp,Saudi Arabia,Delivery platforms,,
Enstore,enstore,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a7775665a89afb9997a_enstore-logo-656979747392c.webp,India,POS Systems,,
Epos Now,epos-now,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651fb1622b40db8c32ac94fa_ePOSnow.png,United Kingdom,POS Systems,,
Eresto,eresto,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697dec7c62d0c2963c7114_eresto-logo-656979747f7ae.webp,India,POS Systems,,
Flip Office,flip-office,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697aa279ab2f7b647dddaa_flipoffice-logo-656979761e9ec.webp,India,POS Systems,,
Flipdish,flipdish,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6565892c22740ac08bda9645_Flipdish-logo-_1_%20(1).webp,United Kingdom,POS Systems; Online Ordering,,
Foaps,foaps,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979c265ad93e188e26a5d_foaps-logo-6569797640e27.webp,India,POS Systems,,
Fodista,fodista,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae148ec147be6ab0f574c_Untitled%20design%20(46).png,Bahrain; Egypt; Jordan; Kuwait; Oman; Qatar; Saudi Arabia; United Arab Emirates,POS Systems,,
Foodhub,foodhub,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68667bae3306f58268e379dd_FOODHUB.webp,United States; United Kingdom; Australia; Ireland; Canada,Delivery platforms,,
Foodics,foodics,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651faf036611ceb6556800ae_foodics.png,United Arab Emirates; Saudi Arabia; Kuwait; Oman; Egypt; Jordan,POS Systems,,
Foodzapp,foodzapp,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690da1626f395330a694be0e_Integration%20page%20icons%20(14).webp,United Arab Emirates,Delivery platforms,,
ForkPOS,forkpos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae2126d665adc913d542f_Untitled%20design%20(48).png,Bahrain; Egypt; Jordan; Kuwait; Oman; Qatar; Saudi Arabia; United Arab Emirates,POS Systems,,
Fusion Innovative,fusion-innovative,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3e9e598513c4d3f3eac5_FusionPos-Logo-updated.png,United Kingdom,POS Systems,,
G5POS,g5pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656982ee47345f64d1a173a9_g5-pos.webp,United Arab Emirates,POS Systems,,
Geidea,geidea,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698c82e1f72fe4466c2b0f_Geidea-logo.webp,Saudi Arabia,POS Systems,,
Gintaa,gintaa,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/666438f3cf10e4a23886da9e_Gintaa.webp,India,Delivery platforms,,
Glovo,glovo,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a768a236f4ece5373e0383_Glovo_logo.svg%20(1).webp,Kenya,Delivery platforms,,
GoFrugal,gofrugal,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6566e5c439927ba4ea56bba6_Gofrugal-logo-100.png,India,POS Systems,,
Grafterr/ePOS Hybrid,grafterr-epos-hybrid,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651fb13b9e2ae9f5c574a31e_Grafterr.png,United Kingdom; India,POS Systems,,
Grubhub,grubhub,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/686cb98326e6df8dace2e8af_grubhub-logo.webp,United States,Delivery platforms,,
HungerStation,hungerstation,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658985e3e50a245e83de82_hungerstation-logo-_1_.webp,Saudi Arabia,Delivery platforms,,
Hungerbox-POS,hungerbox-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f3c243432e229d3fcf3_hungerbox-logo-6569797775be5.webp,India,POS Systems,,
HungryPanda,hungrypanda,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658911d72181129b64f455_HungryPanda-logo-_1_.webp,United Kingdom,Delivery platforms,,
I-Dine/Innosolv,i-dine-innosolv,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6566de0b5c3a14c07b796d8c_I-Dine%20Logo-100.png,India; United Arab Emirates,POS Systems,,
Instashop,instashop,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6662b3b020db50d63b642f99_Instashop-logo.webp,United Arab Emirates,,,
Isthara,isthara,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b40b46c6cfbca69649808_ishtara%20(1).svg,India,Delivery platforms,,
JPOS/Sanguine,jpos-sanguine,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697b2179ab2f7b647e1acf_sanguine-jpos-logo-6569797e5c2a6.webp,India,POS Systems,,
Jahez,jahez,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656589b25b55bff7eb0f3fe4_Jahez-logo%20(1).webp,Saudi Arabia; Kuwait,Delivery platforms,,
Just Eat,just-eat,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/655df765463edaf5ae7ca491_Just-Eat-Logo.png,United Kingdom; Ireland,Delivery platforms,,
Keeta,keeta,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a19ce0c9699b437d871d7_Keeta%20logo.webp,Saudi Arabia; United Arab Emirates,Delivery platforms,,
Kuber POS,kuber-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae2f7d92ceadd36813e34_Untitled%20design%20(47).png,United States; Canada,POS Systems,,
Kurve,kurve,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698814dcd4aaffb405b0a7_Kurve_logo_logo.webp,United Kingdom,POS Systems,,
LS Retail,ls-retail,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6569809c07cc429c9bb400e4_ls-retail.webp,India; United Arab Emirates,POS Systems,,
Lightspeed,lightspeed,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656989cd865499ea12227f5f_Lightspeed_logo.webp,United Kingdom; United States,POS Systems,,
LingaPOS,lingapos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698853c89b69f8cf6cbc35_Linga_Logo.webp,,POS Systems,,
Loyverse,loyverse,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656988316e8be82630c8d2c9_Loyverse_logo_logo.webp,,POS Systems,,
Lucid,lucid,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a3d243432e229d11f1d_lucid-logo-6569797800b45.webp,India; United Kingdom,POS Systems,,
Masalabox,masalabox,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65644b8fb0669b030c71d7e8_Masala%20Box-logo%20(1).webp,India,Online Ordering,,
Menew,menew,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979d0f24ca81fd0bb2ad5_menew-logo-656979787bfdd.webp,India,POS Systems,,
Micros Oracle Symphony Gen 1,micros-oracle-symphony-gen-1,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698884e1f72fe446699406_OracleMicros.webp,,POS Systems,,
Micros Oracle Symphony Gen 2,micros-oracle-symphony-gen-2,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656829963887a9d47c192c45_OracleMicros-100.png,United Arab Emirates,POS Systems,,
Micros Oracle Symphony RES 3700,micros-oracle-symphony-res-3700,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698884e1f72fe446699406_OracleMicros.webp,,POS Systems,,
Mr Mandoob,mr-mandoob,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690d9b76a8d771d4ba0c1172_Integration%20page%20icons%20(11).webp,Saudi Arabia,Delivery platforms,,
Mrsool,mrsool,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66c46f336f9796a8b95d1fdb_Screenshot%202024-08-20%20155429.webp,Saudi Arabia,Delivery platforms,,
MyGenie,mygenie,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68ac17f14c72f4d70458f154_Integration%20page%20icons%20(7).png,India,POS Systems,,
MyOrderBox,myorderbox,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672bf1e1bfe20ba128ef0b7_MOB-logo.webp,United Kingdom,POS Systems,,
Mymenu,mymenu,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697e29cfa1d94906ba23f3_mymenu-logo-656979792a081.webp,India,POS Systems,,
NCR BSL,ncr-bsl,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a67cc959bff733a97159c6_NCR-Voyix-Fintech-Finance-News.webp,Saudi Arabia; United Arab Emirates,POS Systems,,
NOQ,noq,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698822866875695e098ff3_NOQ-logo.webp,United Kingdom,POS Systems,,
Nash,nash,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a67ae8ad1c0c20ddb2dc6b_usenash_logo.webp,United Kingdom; United States,Fulfilment,,
Ninja,ninja,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1b654a4132e6c45ccb31_Ninja%20logo.webp,Saudi Arabia,Delivery platforms,,
Ninjacart,ninjacart,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66643831bfd0614f0010c461_cropped-Group-207-1.webp,India,Delivery platforms,,
Noonfood,noonfood,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658a2e0dc3cffa145e34ec_Noon%20foods%20Logo%20(2).webp,United Arab Emirates; Saudi Arabia; Kuwait,Delivery platforms,,
Nuba Soft,nuba-soft,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656983c0aaa385bd5af6cba4_NUBA%20Logo.webp,United Arab Emirates,POS Systems,,
OMAK POS,omak-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68ec8ad23a1c1bb431507534_OMAK%20POS.png,United Arab Emirates; Qatar,POS Systems,,
OMEGA POS Technology,omega-pos-technology,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698b57d6018f8bee07a86a_Omega-logo.webp,United Arab Emirates; Kuwait,POS Systems,,
Ocim,ocim,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656985728a65a2c6c4fb4a63_OCIM%20LOGO.webp,United Arab Emirates,POS Systems,,
Odoo,odoo,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651faed4cfa1bf188297fcac_odoo.png,Global,POS Systems,,
Ordable,ordable,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66347557a7732b4667d5ec8e_ordable-foodics-marketplace-logo.webp,United Arab Emirates; Kuwait,Online Ordering,,
OrderSune,ordersune,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aed7b4708a653ed098ddc_Untitled%20design%20(55).png,Bahrain; Egypt; Jordan; Kuwait; Oman,POS Systems,,
Orderable,orderable,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1d9980c059ebb28f3855_Orderable%20logo.webp,Saudi Arabia,Delivery platforms,,
PAR Brink,par-brink,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a8e45eb9947f3a1ea403df_PAR_BIG-74be83d4%20(1).webp,India,POS Systems,,
Phenix POS,phenix-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/685b90b9dd6c431b892273de_Phenix%20POS%20logo.webp,Bahrain; Egypt; Jordan; Kuwait; Oman,POS Systems,,
Phylo POS,phylo-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697baea8418071be599236_phylopay-logo-6569797b66c8c.webp,India,POS Systems,,
Polaris Technology,polaris-technology,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65dc613f257517ba67d6a6ff_polaris-logo.jpg,United Arab Emirates,POS Systems,,
PosBytz,posbytz,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/67cfea40457d16ac3c177e76_posbytz-logo.png,Saudi Arabia; Bahrain; Qatar; United Arab Emirates; Kuwait,POS Systems,,
Posify,posify,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65aa16d79962ee2c0693af4b_posify-logo-v4.webp,India; United Arab Emirates,POS Systems,,
Positeasy,positeasy,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6664425f532fbc42e52932c4_PosItEasy%20Logo.webp,India,POS Systems,,
Postmates,postmates,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658b734ecc4dede769ea0d_Postmates%20logo%20(1).webp,United States,Delivery platforms,,
Prologic,prologic,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698b048d994c80152c795f_Prologic%20first%20logo.webp,United Arab Emirates,POS Systems,,
QPos,qpos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a66c89b69f8cf63568c_qpos-logo-1-6569797c08a25.webp,India,POS Systems,,
QRKey Pos,qrkey-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697af16a1ea6c7b7d40079_qrkey-logo-6569797c99b0a.webp,India,POS Systems,,
Queuebuster,queuebuster,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697b77f04def588c8b7226_queubuster-logo-6569797d1839a.webp,India,POS Systems,,
Radyes,radyes,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658a5e7307f8a2334bb8c2_Radyes-logo%20(1).webp,United Arab Emirates; United Kingdom; India,Online Ordering,,
Rafeeq,rafeeq,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b404aac3a1e453c7c30fc_t0bkxepynwu41jwpob8r.svg,Qatar,Delivery platforms,,
Rancelab,rancelab,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656988d65a35f03f3dfa9162_rancelab-logo.webp,India; United Arab Emirates,POS Systems,,
Rappi,rappi,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ec830f4f04b81eb99e2_Rappi_logo%20(3)%20(1).webp,,Fulfilment,,
Rappi Cargo,rappi-cargo,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a76affc1d43864240d1003_Rappi%20Cargo%20logo%20(1).webp,Colombia; Chile; Mexico,Fulfilment,,
Rawnest,rawnest,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3f9b2ebf769459aa7871_rawnest-logo.png,India,POS Systems,,
RestoSuite,restosuite,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6672c01bfdaaeedca9661074_Resto%20suite%20logo.webp,United States,POS Systems,,
Revel,revel,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d69865499ea1224eea0_revel%20systems-logo.webp,United Kingdom; United Arab Emirates,POS Systems,,
Romio Technologies,romio-technologies,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68b7cec9972b2872c69e488d_Integration%20page%20icons%20(9).png,India,POS Systems,,
Royal POS,royal-pos,https://www.urbanpiper.com/integrations,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697b2f865499ea1218c8a6_royalpos-logo-6569797dba2b6.webp,India,POS Systems,,
